"country_code"	"name"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"
275	"State of Palestine"	-68.813	-67.96	-77.639	-283.634	-32.25	-83.7	-61.45	-39.35	35	70	-190	-90	-43.75
760	"Syrian Arab Republic"	-70	-15	-16	-16	-81.501	-161.672	-87.001	-146.501	-70	-130	-379.91	370	-4029.996
792	"Turkey"	-19.782	-92.491	-259.169	-319.769	-314.799	-367.998	-77.591	-150	-200.001	-149.998	-100.002	-50	2000.003
784	"United Arab Emirates"	-0.138	-0.175	37.882	53.823	245.222	391.216	175.581	260.931	326.83	484.452	1180	3493	405
887	"Yemen"	-50	-75	-100	-245.662	-353	-75	-50	-50	672.8	-100	-100	0	-50
908	"EUROPE"	-1301.013	-2530.013	399.735	-271.114	2080.639	2084.716	1633.177	2574.928	5693.467	3358.752	8268.603	8495.141	4123.221
112	"Belarus"	-334.766	-164.536	-125.387	57.574	23.022	10.001	47.114	-6.309	-63.057	56.146	-6.382	63.933	120.535
100	"Bulgaria"	-118.095	-43.465	-1.437	-6.423	-43.396	-94.868	-22.346	-184.143	-356.464	-106.602	-83.002	-83.002	-50
203	"Czech Republic"	59.997	-36.387	24.999	-129.099	9.999	9.999	-52.946	5.671	29.999	46.002	47.402	250.889	29.999
348	"Hungary"	24.754	-174.316	3.984	-9.921	-5.948	51.236	-119.461	-99.736	96.796	78.562	66.163	95.789	29.999
616	"Poland"	0	-165.548	-10.196	-143.114	-170.903	-106.595	-81.891	-458.986	-240.502	-243.932	38.05	5.235	-73.809
498	"Republic of Moldova"	90.096	140.733	100.89	74.449	55.824	-26.414	-9.185	-84.531	-131.953	-165.309	-12.079	-47.911	-9.529
642	"Romania"	-2.001	-2.001	-2.001	-2.001	-2.001	-99.999	-200	-200	-520.001	-610	-490.472	-874.406	-437.201
643	"Russian Federation"	32.795	-1213.491	-1394.343	-550.619	-290.289	639.801	1107	906.615	2519.717	2308.22	1735.324	2157.349	1117.884
703	"Slovakia"	65.482	17.987	-26.427	-57.838	-15.254	-9.696	-34.777	-35.312	-15.108	-2.964	1.199	9.597	1.199
804	"Ukraine"	43.926	-325.141	454.164	267.629	209.851	104.383	189.092	0	74.421	-462.264	-165.445	235.195	195
830	"Channel Islands"	2.186	2.251	2.934	3.88	4.25	1.726	5.38	6.085	2.12	3.778	4.592	4.479	3.654
208	"Denmark"	-18.28	-32.64	2.256	21.866	23.256	14.925	9.319	32.839	65.466	74.568	46.306	87.989	96.839
233	"Estonia"	36.999	26.899	43.228	41.204	30.581	30.51	25.9	15.497	-111.876	-1.197	-18.406	-15.151	-11.85
246	"Finland"	-32.54	-27.747	-64.984	-97.937	28.88	-29.377	26.181	18.268	47.223	22.154	31.935	71.143	107.409
352	"Iceland"	-0.413	0.323	-0.732	-2.757	-1.061	-3.929	0.26	0.646	-1.054	1.994	3.894	8.041	-0.378
372	"Ireland"	-146.275	-207.419	-109.734	-50.86	37.331	53.058	-50.745	-115.193	-10.648	83.412	199.949	198.144	-140.001
428	"Latvia"	27.792	61.687	76.276	69.482	54.668	41.271	39.884	42.002	-135.622	-39.042	-82.692	-86.168	-73.442
440	"Lithuania"	-60.523	-24.501	24.715	26.314	37.782	38.815	43.804	36.863	-100.301	-111.16	-83.738	-141.659	-169.529
578	"Norway"	-3.962	-9.438	-2.274	13.867	29.273	20.728	24.805	38.715	46.903	58.773	67.4	174.001	235.665
752	"Sweden"	52.052	47.266	80.351	130.98	18.798	88.567	29.799	134.569	156.46	58.47	141.723	262.453	272.626
826	"United Kingdom"	-357.92	69.966	142.563	-84.853	106.415	39.119	-97.495	98.758	205.443	498.998	968.35	1523.939	900
8	"Albania"	-0.099	-0.099	-0.099	-0.099	-0.099	-0.099	-0.099	-0.099	-443.212	-179.606	-175.406	-252.926	-91.75
70	"Bosnia and Herzegovina"	-50.002	-50.002	-50.002	-99.999	-74.999	-74.999	-29.999	-56.374	-748.374	-160.02	34.82	3.677	-2.506
191	"Croatia"	-0.018	-0.018	1.854	-1.225	-18.403	18.681	54.369	26.145	-143.579	-188.129	-2.58	-22.532	-20
300	"Greece"	18.595	-13.954	-145.243	-99.122	10.771	330.211	114.02	158.887	464.636	297.431	113.586	80.157	-136.299
380	"Italy"	-203.668	-559.402	-231.607	-231.781	19.396	164.927	266.352	-10.058	152.825	223.974	1624.3	1006.308	528.269
470	"Malta"	-29.215	-27.724	-26.384	-12.601	-9.682	-4.843	2.88	1.159	2.893	4.316	5.76	13.525	6.252
499	"Montenegro"	9.999	-2.001	-2.001	-53.773	-2.001	-7.401	-2.001	-29.965	-20.249	-21.588	-7.999	-3.108	-2.412
620	"Portugal"	-265.081	-329.412	-547.884	-701.6	108.187	198.629	-66.894	-147.873	149.122	173.604	178.353	127.025	-140
688	"Serbia"	35.206	-50.057	-88.14	-89.744	-20.651	7.68	-10.36	-27.488	178.348	-546.911	-276.331	-38.215	-99.999
705	"Slovenia"	-20	-9.672	-22.059	-14.95	17.942	34.686	68.363	32.609	-17.461	1.487	14.998	49.624	4.324
724	"Spain"	-435.544	-459.011	-193.807	-145.936	96.99	76.903	-43.291	-67.671	319.268	896.019	2829.228	2250.005	-593.069
807	"TFYR Macedonia"	0	-44.94	-40.94	-28.981	-61.002	-14.749	-72.752	-98.818	-133.498	-4.999	-15.272	-4.999	-4.999
40	"Austria"	-77.999	-52.002	15.996	50.401	82.001	5.502	18.002	110.999	227.841	65.082	178.117	153.763	147.089
56	"Belgium"	59.177	43.85	71.911	86.168	39.275	70.243	13.46	44.794	115.391	67.177	247.56	267.204	269.998
250	"France"	298.328	930.036	1466.682	416.217	805.181	146.855	268.131	481.869	303.416	188.966	739.395	480.787	331.555
276	"Germany"	-42.001	39.829	666.962	917.575	714.153	288.662	0.023	1710.683	3232.654	744.288	1.217	31.64	1249.998
442	"Luxembourg"	5.756	4.191	8.527	5.918	15.284	11.846	2.552	12.831	20.04	19.94	14.473	42.279	48.704
528	"Netherlands"	-94.668	-22.221	11.589	54.636	179.46	180.718	79.525	133.845	220.083	153.553	144.62	55.674	110.006
756	"Switzerland"	131.747	129.187	276.181	92.978	25.185	-135.365	81.04	130.857	247.406	65.218	186.125	344.872	382.267
904	"LATIN AMERICA AND THE CARIBBEAN"	-154.998	-1023.323	-1429.116	-2051.62	-2277.416	-3188.899	-3433.291	-3483.999	-3241.942	-4317.4	-5524.543	-2686.434	-2073.835
28	"Antigua and Barbuda"	0.187	-4.463	-1.703	-1.625	-2.874	-3.492	-8.84	-7.629	2.617	4.421	-0.282	-0.092	-0.056
533	"Aruba"	-1.58	2.784	-4.323	-4.275	-3.537	-5.47	-1.921	-5.194	14.218	6.926	6.263	-0.441	1.253
44	"Bahamas"	-0.227	8.483	14.357	14.08	0.887	2.791	0.18	-1.099	-0.395	-3.097	15.483	14.363	9.672
52	"Barbados"	-6.823	-17.305	-15.903	-11.88	-5.433	-3.595	-5.589	-4.077	-3.263	-1.323	-0.077	2.05	2.18
192	"Cuba"	-30	-55	-205	-250	-190	-160	-270	-69.999	-120.006	-163.997	-149.998	-193.998	-79.999
531	"Cura~ASSao"	2.619	-5.986	-7.752	-4.526	-5	-13.251	-8.464	-14.547	-11.517	-17.077	-6.07	15.363	5.71
214	"Dominican Republic"	-18.957	-31.722	-43.49	-56.172	-70.824	-87.098	-118.102	-134.47	-144.154	-150.146	-152.553	-153.773	-153.01
308	"Grenada"	-5.582	-5.22	-8.968	-9.319	-11.426	-12.867	-0.288	-15.001	-3.923	-4.912	-4.132	-4.274	-4.274
312	"Guadeloupe"	-2.805	5.503	-10.865	-18.256	-24.847	-23.851	6.123	5.91	-4.188	0.364	-1.142	-13	-3.743
332	"Haiti"	-29.999	-34.999	-51.997	-58.003	-88	-97.999	-124.999	-135.001	-140.001	-144.998	-139.999	-138.004	-150
388	"Jamaica"	-36.89	-149.699	-147.722	-168.398	-103.176	-112.462	-80.344	-158.694	-109.999	-90.002	-91.999	-94.999	-97
474	"Martinique"	-8.004	0.035	-8.196	-23.08	-27.079	-20.682	-1.639	-0.234	-6.748	2.54	-4.008	-14.113	-5.684
630	"Puerto Rico"	-289.711	-209.505	-91.587	-134.255	-41.031	-19.579	-48.42	-55.192	-0.296	-30.45	-145.704	-138.043	-103.537
662	"Saint Lucia"	-9.113	-12.441	-9.372	-7.697	-9.649	-8.932	-8.141	-4.262	-4.806	-0.948	-0.227	2.85	0.04
670	"Saint Vincent and the Grenadines"	-4.907	-5.687	-9.326	-10.014	-8.792	-7.257	-7.345	-7.103	-8.682	-7.948	-5.2	-5.122	-5
780	"Trinidad and Tobago"	-2.802	-2.825	-57.936	-61.563	-29.357	-30.858	-34.278	-45.071	-31.973	-32.545	-13.159	-11.303	-5
850	"United States Virgin Islands"	-0.302	-0.537	10.27	3.245	9.407	1.961	-3.492	-11.156	-4.618	-3.936	-5.272	-6.191	-3.604
84	"Belize"	-2.956	-2.744	-2.418	-2.957	-10.665	-13.542	-5.332	-5.404	-9.011	11.909	5.797	8.722	7.594
188	"Costa Rica"	4.912	7.137	7.905	7.827	12.638	17.425	18.876	17.417	69.202	89.527	41.792	30.339	19.658
222	"El Salvador"	-62.152	-43.88	-24.031	-44.306	-90.977	-164.23	-231.749	-256.685	-265.152	-326.853	-312.786	-285.671	-240.415
320	"Guatemala"	-4	-6.499	-19.999	-40.498	-81	-180.001	-220.003	-250.001	-260.001	-280.001	-199.998	-132	-120.001
340	"Honduras"	10	10	11	-70	-50	-30	-50.002	-70.001	-119.999	-180.003	-149.999	-99.997	-80
484	"Mexico"	-200.001	-289.999	-411.004	-620.001	-899.999	-1212.001	-1519	-1535.834	-1302.868	-1844.707	-2841.19	-409.596	-523.585
558	"Nicaragua"	-10.802	-11	-14.003	-18.997	-37.999	-58.001	-110.002	-150.001	-120.001	-145	-173.998	-155	-135
591	"Panama"	-14.066	-12.257	-11.928	-12.692	-12.288	-14.077	-12.704	-9.395	1.954	9.797	16.119	22.244	28.105
32	"Argentina"	309.999	140.002	122.001	130.001	290	-230.001	139.999	160.002	29.999	-80	-90	-84.998	30
68	"Bolivia (Plurinational State of)"	-31.997	-30.002	-34.003	-37.001	-42.998	-60.007	-87.002	-106.998	-90.997	-83.002	-89.995	-84.003	-61.794
76	"Brazil"	330.012	0	0	0	0	0	0	0	0	0	0	0	15.924
152	"Chile"	-29.754	-29.589	-33.751	-42.595	-51.769	-50.998	-37.305	7.909	62.545	71.64	93.789	139.345	201.289
170	"Colombia"	-162.997	-213.002	-253.998	-281	-289.998	-286.998	-273.997	-254.001	-223.998	-190	-159.003	-143	-144.998
218	"Ecuador"	-2	-7.999	-9.002	-5.5	-5.499	-7.198	-14.001	-16.998	-19	-69.999	-120.002	-44.999	-38.001
254	"French Guiana"	0.231	0.706	3.474	4.035	2.53	5.096	10.773	16.749	4.45	6.6	17.699	3.004	6
328	"Guyana"	10.849	-1.017	2.132	-43.195	-52.068	-53.966	-121.338	-134.808	-76.825	-54.757	-58.713	-34.129	-27.278
600	"Paraguay"	-78.978	-74.633	-70.58	-65.825	-58.83	-46.331	-21.209	-17.242	-31.049	-43.861	-46.919	-117.299	-86.7
604	"Peru"	-16.5	-22.001	-30	-50.003	-87.999	-98.998	-117.998	-185.001	-293.999	-540.001	-634.999	-489.999	-240
740	"Suriname"	-3.423	-5.416	-11.05	-13.862	-56.82	-40.352	-31.771	-4.845	-3.342	-2.402	-22.142	-5.675	-5
858	"Uruguay"	10	20	-6	-34	-136	-60	-30	-30	-20	-26	-104	-50	-30
862	"Venezuela (Bolivarian Republic of)"	243.547	79.805	18.874	3.172	0.892	1.094	1.373	0.891	-0.572	-2.061	-7.648	-28.395	-69.121
905	"NORTHERN AMERICA"	1483.747	2420.278	1135.795	2105.282	3611.84	4308.149	3654.765	4559.737	5263.692	9451.043	6173.86	6295.538	6179.388
124	"Canada"	615.129	561.451	178.066	608.528	771.526	438.027	376.129	875.013	698.764	761.611	1026.702	1229.905	1175.863
840	"United States of America"	870.259	1859.808	958.657	1495.165	2840.495	3872.811	3279.26	3686.097	4568.941	8692.337	5149.157	5070.253	5007.887
909	"OCEANIA"	478.632	406.819	422.293	832.92	293.871	95.04	417.907	561.106	401.75	323.733	574.296	1077.834	951.684
36	"Australia"	438.295	397.191	382.989	852.782	264.129	235.744	456.227	666.233	351.078	377.552	575.104	1132.688	1023.107
554	"New Zealand"	62.412	38.875	42.751	-2.624	76.678	-74.794	-2.908	-9.418	118.016	42.584	134.629	62.413	7.265
242	"Fiji"	-3.286	-4.858	2.451	-9.567	-12.506	-20.709	-11.628	-66.875	-35.796	-42.26	-61.797	-28.754	-28.72
540	"New Caledonia"	-3.462	2.454	3.347	1.106	6.442	-1.222	-2.085	0.475	4.778	5.571	4.771	4.234	5.66
598	"Papua New Guinea"	-0.665	-7.675	-4.317	2.993	-7.352	-8.243	0	0	0	0	0	0	0
90	"Solomon Islands"	1.793	2.566	2.348	2.188	2.118	0.182	-0.001	-1.832	-0.971	-0.677	-4.898	-11.896	-11.868
548	"Vanuatu"	-0.104	-0.122	0.067	-0.506	1.439	0.245	-3.312	-2.801	-0.295	-7.087	-0.502	1.135	0.603
316	"Guam"	-3.842	-4.552	-2.905	-1.442	-2.131	-1.511	0.109	0.099	1.739	-4.116	-9.556	-9.776	0
296	"Kiribati"	-1.082	-1.127	-1.219	-1.274	-1.5	-2.576	-3.112	-0.766	-4.598	-2.977	-2.039	-0.578	-2.13
583	"Micronesia (Fed. States of)"	0	0	0	0	-7.997	-0.548	0	-2.461	-2.234	-13.618	-12.85	-12.132	-8.192
258	"French Polynesia"	-1.286	-2.427	3.19	3.344	4.388	3.844	3.65	0.241	-4.324	3.483	0.077	-3.463	-0.5
